id,count,college graduate,some college,name,high school or less,party,postgraduate,state
228,,,2,Other/No Answer,,D,1,VA
229,,57,61,Hillary Clinton,67,D,69,VA
230,,43,37,Bernie Sanders,33,D,30,VA
231,1413,29,25,total,11,D,35,VA
232,,3,1,Other/No Answer,3,R,2,WI
233,,18,11,John Kasich,13,R,17,WI
234,,33,38,Donald Trump,39,R,27,WI
235,,0,0,Uninstructed,0,R,0,WI
236,,46,50,Ted Cruz,45,R,54,WI
237,1532,33,35,total,17,R,15,WI
238,,,,Other/No Answer,1,D,,WI
239,,37,43,Hillary Clinton,50,D,47,WI
240,,63,57,Bernie Sanders,49,D,53,WI
241,,0,0,Uninstructed,,D,0,WI
242,1774,29,35,total,13,D,23,WI
