id,democrats:count,republicans:count,count,republicans,party,independents:count,state,democrats,independents,name
166,0,20,33,2,R,13,WI,0,3,Other/No Answer
167,0,120,193,12,R,73,WI,0,17,John Kasich
168,0,319,491,32,R,172,WI,0,40,Donald Trump
169,0,0,0,0,R,0,WI,0,0,Uninstructed
170,0,538,710,54,R,172,WI,0,40,Ted Cruz
171,92,996,1532,65,R,429,WI,6,28,total
172,630,0,764,0,D,134,WI,50,28,Hillary Clinton
173,630,0,975,0,D,345,WI,50,72,Bernie Sanders
174,0,0,0,0,D,0,WI,0,0,Uninstructed
175,1260,35,1774,2,D,479,WI,71,27,total
