id,25 to 29,count,50 to 64,name,party,40 to 49,65 and older,state,18 to 24,30 to 39,17 to 24
142,,,35,Ted Cruz,R,41,32,NC,,44,
143,,,1,Ben Carson,R,2,1,NC,,0,
144,,,45,Donald Trump,R,41,41,NC,,33,
145,7,1800,32,total,R,18,25,NC,,12,6
146,,,1,Other/No Answer,D,3,1,NC,,1,
147,37,,63,Hillary Clinton,D,58,69,NC,,45,19
148,1,,4,No Preference,D,2,5,NC,,1,
149,62,,32,Bernie Sanders,D,37,25,NC,,53,81
150,9,1867,32,total,D,17,20,NC,,14,9
151,,,2,Other/No Answer,R,,,OH,3,1,
152,6,,1,Marco Rubio,R,2,3,OH,11,6,
153,55,,45,John Kasich,R,48,50,OH,43,44,
154,14,,14,Ted Cruz,R,14,10,OH,20,10,
155,,,1,Ben Carson,R,1,0,OH,0,0,
156,25,,37,Donald Trump,R,35,37,OH,23,39,
157,5,2363,36,total,R,18,23,OH,7,12,
158,,,1,Other/No Answer,D,,,OH,,2,
159,23,,69,Hillary Clinton,D,54,77,OH,15,41,
160,77,,30,Bernie Sanders,D,46,23,OH,85,57,
161,7,1764,33,total,D,15,21,OH,8,15,
162,,,,Other/No Answer,R,1,3,OK,,1,
163,,,22,Marco Rubio,R,23,26,OK,,26,
164,,,4,John Kasich,R,3,4,OK,,3,
165,,,35,Ted Cruz,R,35,36,OK,,34,
166,,,7,Ben Carson,R,6,3,OK,,10,
167,,,1,Jeb Bush,R,,0,OK,,,
168,,,32,Donald Trump,R,32,28,OK,,26,
169,5,938,33,total,R,17,27,OK,5,13,
170,,,7,Other/No Answer,D,7,11,OK,,2,
171,,,48,Hillary Clinton,D,44,53,OK,,22,
172,,,45,Bernie Sanders,D,49,36,OK,,76,
173,6,821,32,total,D,13,28,OK,7,15,
174,,,,Other/No Answer,R,1,1,SC,,,
175,,,19,Marco Rubio,R,23,25,SC,,27,
176,,,7,John Kasich,R,7,8,SC,,6,
177,,,23,Ted Cruz,R,24,17,SC,,25,
178,,,7,Ben Carson,R,9,4,SC,,11,
179,,,8,Jeb Bush,R,6,12,SC,,4,
180,,,37,Donald Trump,R,30,33,SC,,27,
181,5,2043,36,total,R,17,27,SC,,10,5
182,,,,Other/No Answer,D,,1,SC,,,
183,52,,78,Hillary Clinton,D,79,88,SC,,70,40
184,48,,22,Bernie Sanders,D,21,11,SC,,30,60
185,8,1461,38,total,D,16,19,SC,,13,7
186,,,2,Other/No Answer,R,,1,TN,,1,
187,,,23,Marco Rubio,R,16,17,TN,,27,
188,,,5,John Kasich,R,6,7,TN,,4,
189,,,0,Uncommitted,R,0,0,TN,,1,
190,,,25,Ted Cruz,R,32,21,TN,,19,
191,,,4,Ben Carson,R,9,6,TN,,12,
192,,,1,Jeb Bush,R,1,3,TN,,,
193,,,40,Donald Trump,R,36,45,TN,,36,
194,4,1435,36,total,R,17,29,TN,4,9,
195,,,1,Other/No Answer,D,,,TN,,1,
196,,,76,Hillary Clinton,D,73,82,TN,,49,
197,,,1,Uncommitted,D,,0,TN,,,
198,,,22,Bernie Sanders,D,27,18,TN,,50,
199,6,966,35,total,D,14,21,TN,9,14,
200,1,,1,Other/No Answer,R,1,1,TX,,1,
201,24,,19,Marco Rubio,R,19,12,TX,36,16,
202,3,,4,John Kasich,R,2,8,TX,2,1,
203,,,1,Uncommitted,R,0,2,TX,2,0,
204,25,,45,Ted Cruz,R,48,41,TX,38,42,
205,10,,3,Ben Carson,R,2,3,TX,6,7,
206,10,,1,Jeb Bush,R,0,3,TX,3,0,
207,27,,26,Donald Trump,R,28,30,TX,13,33,
208,4,1969,33,total,R,19,26,TX,6,12,
209,,,3,Other/No Answer,D,,1,TX,2,2,
210,45,,76,Hillary Clinton,D,68,87,TX,36,55,
211,55,,21,Bernie Sanders,D,32,12,TX,62,43,
212,8,1481,30,total,D,18,18,TX,12,14,
213,,,,Other/No Answer,R,,3,VT,,,
214,,,18,Marco Rubio,R,,14,VT,,,
215,,,28,John Kasich,R,,37,VT,,,
216,,,10,Ted Cruz,R,,7,VT,,,
217,,,4,Ben Carson,R,,4,VT,,,
218,,,2,Jeb Bush,R,,4,VT,,,
219,,,38,Donald Trump,R,,31,VT,,,
220,4,536,38,total,R,15,29,VT,,9,5
221,5,,14,Hillary Clinton,D,12,23,VT,,8,
222,95,,86,Bernie Sanders,D,88,77,VT,,92,
223,9,1542,31,total,D,18,22,VT,,14,6
224,,,,Other/No Answer,R,1,2,VA,,1,
