id,$50k to $100k,count,under $50k,name,party,state,$100k or more
219,1,,,Other/No Answer,R,VA,
220,33,,13,Marco Rubio,R,VA,40
221,10,,4,John Kasich,R,VA,13
222,20,,25,Ted Cruz,R,VA,13
223,4,,7,Ben Carson,R,VA,7
224,,,0,Jeb Bush,R,VA,1
225,32,,51,Donald Trump,R,VA,27
226,32,1523,19,total,R,VA,49
227,1,,,Other/No Answer,D,VA,
228,61,,60,Hillary Clinton,D,VA,68
229,38,,40,Bernie Sanders,D,VA,32
230,30,1413,29,total,D,VA,41
231,2,,2,Other/No Answer,R,WI,2
232,13,,15,John Kasich,R,WI,15
233,35,,41,Donald Trump,R,WI,31
234,0,,0,Uninstructed,R,WI,0
235,50,,42,Ted Cruz,R,WI,52
236,36,1532,28,total,R,WI,36
237,,,1,Other/No Answer,D,WI,
238,39,,43,Hillary Clinton,D,WI,46
239,61,,56,Bernie Sanders,D,WI,54
240,0,,,Uninstructed,D,WI,
241,36,1774,37,total,D,WI,26
