id,stayed the same,gotten better,gotten worse,name,party,state,count
1,53,,48,Hillary Clinton,D,IL,
2,47,,52,Bernie Sanders,D,IL,
3,35,9,54,total,D,IL,1521
4,1,,,Other/No Answer,D,OH,
5,57,,57,Hillary Clinton,D,OH,
6,42,,43,Bernie Sanders,D,OH,
7,30,12,56,total,D,OH,1764
