id,moderate/liberal:count,count,party,conservative:count,moderate/liberal,state,conservative,name
126,25,104,R,79,14,VT,22,Marco Rubio
127,73,163,R,90,41,VT,25,John Kasich
128,7,50,R,43,4,VT,12,Ted Cruz
129,4,22,R,18,2,VT,5,Ben Carson
130,4,8,R,4,2,VT,1,Jeb Bush
131,60,175,R,115,34,VT,32,Donald Trump
132,177,536,R,359,33,VT,67,total
133,0,11,R,11,0,VA,1,Other/No Answer
134,170,488,R,318,40,VA,29,Marco Rubio
135,89,144,R,55,21,VA,5,John Kasich
136,34,253,R,219,8,VA,20,Ted Cruz
137,26,92,R,66,6,VA,6,Ben Carson
138,9,20,R,11,2,VA,1,Jeb Bush
139,98,515,R,417,23,VA,38,Donald Trump
140,426,1523,R,1097,28,VA,72,total
141,8,31,R,23,2,WI,2,Other/No Answer
142,103,228,R,125,26,WI,11,John Kasich
143,159,533,R,374,40,WI,33,Donald Trump
144,4,4,R,0,1,WI,0,Uninstructed
145,123,735,R,612,31,WI,54,Ted Cruz
146,398,1532,R,1134,26,WI,74,total
