id,experienced in politics,count,outside the establishment,name,party,state
1,1,,2,Other/No Answer,R,VT
2,28,,11,Marco Rubio,R,VT
3,47,,14,John Kasich,R,VT
4,11,,9,Ted Cruz,R,VT
5,1,,7,Ben Carson,R,VT
6,4,,,Jeb Bush,R,VT
7,8,,57,Donald Trump,R,VT
8,46,536,49,total,R,VT
