id,yes:count,no:count,count,yes,party,no,state,name
1,8,0,8,1,R,0,AL,Other/No Answer
2,143,91,234,17,R,23,AL,Marco Rubio
3,25,32,57,3,R,8,AL,John Kasich
4,8,4,12,1,R,1,AL,Uncommitted
5,193,63,256,23,R,16,AL,Ted Cruz
6,93,36,129,11,R,9,AL,Ben Carson
7,8,0,8,1,R,0,AL,Jeb Bush
8,362,170,532,43,R,43,AL,Donald Trump
9,841,396,1237,68,R,32,AL,total
10,20,4,24,2,R,1,AR,Other/No Answer
11,249,104,353,25,R,27,AR,Marco Rubio
12,20,35,55,2,R,9,AR,John Kasich
13,328,81,409,33,R,21,AR,Ted Cruz
