id,count,help the economy,hurt the economy:count,help the economy:count,party,state,hurt the economy,name
1,214,24,115,99,R,NY,25,John Kasich
2,526,61,275,251,R,NY,60,Donald Trump
3,131,15,69,62,R,NY,15,Ted Cruz
4,957,43,459,412,R,NY,48,total
