id,dissatisfied/angry:count,dissatisfied/angry,count,enthusiastic/satisfied,enthusiastic/satisfied:count,party,state,name
1,5,1,5,0,0,R,VT,Other/No Answer
2,92,19,92,0,0,R,VT,Marco Rubio
3,145,30,145,0,0,R,VT,John Kasich
4,48,10,48,0,0,R,VT,Ted Cruz
5,24,5,24,0,0,R,VT,Ben Carson
6,5,1,5,0,0,R,VT,Jeb Bush
7,164,34,164,0,0,R,VT,Donald Trump
8,482,90,536,8,43,R,VT,total
