id,count,name,party,weekly,state,never,occasionally
1,,Other/No Answer,R,1,MO,,1
2,,Marco Rubio,R,5,MO,,8
3,,John Kasich,R,9,MO,,12
4,,Uncommitted,R,,MO,,2
5,,Ted Cruz,R,52,MO,,28
6,,Ben Carson,R,1,MO,,1
7,,Donald Trump,R,32,MO,,48
8,1363,total,R,57,MO,9,33
