id,count,30 to 44:count,state,65 and older,30 to 44,18 to 29:count,45 to 64:count,45 to 64,party,18 to 29,65 and older:count,name,17 to 29:count,17 to 29
163,293,64,OK,36,34,0,138,35,R,0,91,Ted Cruz,,
164,51,19,OK,3,10,0,24,6,R,0,8,Ben Carson,,
165,4,0,OK,0,0,0,4,1,R,0,0,Jeb Bush,,
166,248,51,OK,28,27,0,126,32,R,0,71,Donald Trump,,
167,938,188,OK,27,20,103,394,42,R,11,253,total,,
168,54,2,OK,11,1,1,26,8,D,1,25,Other/No Answer,,
169,338,45,OK,53,26,17,154,48,D,17,122,Hillary Clinton,,
170,431,126,OK,36,73,81,141,44,D,82,83,Bernie Sanders,,
171,821,172,OK,28,21,99,320,39,D,12,230,total,,
172,9,3,SC,1,1,,0,0,R,,6,Other/No Answer,0,0
173,452,90,SC,25,26,,179,19,R,,138,Marco Rubio,45,22
174,156,28,SC,8,8,,66,7,R,,44,John Kasich,18,9
175,454,87,SC,17,25,,216,23,R,,94,Ted Cruz,57,28
176,145,35,SC,4,10,,66,7,R,,22,Ben Carson,22,11
177,163,14,SC,12,4,,75,8,R,,66,Jeb Bush,8,4
178,663,90,SC,33,26,,338,36,R,,182,Donald Trump,53,26
179,2043,347,SC,27,17,,940,46,R,,552,total,204,10
180,10,0,SC,1,0,,7,1,D,,3,Other/No Answer,0,0
181,1094,219,SC,88,75,,529,77,D,,245,Hillary Clinton,101,46
182,373,73,SC,11,25,,151,22,D,,31,Bernie Sanders,118,54
183,1461,292,SC,19,20,,687,47,D,,278,total,219,15
184,9,2,TN,1,1,3,0,0,R,3,4,Other/No Answer,,
185,300,51,TN,17,21,33,145,22,R,29,71,Marco Rubio,,
186,78,7,TN,7,3,2,40,6,R,2,29,John Kasich,,
187,2,2,TN,0,1,0,0,0,R,0,0,Uncommitted,,
188,347,71,TN,21,29,24,165,25,R,21,87,Ted Cruz,,
189,94,22,TN,6,9,7,40,6,R,6,25,Ben Carson,,
190,22,2,TN,3,1,1,7,1,R,1,12,Jeb Bush,,
191,580,85,TN,45,35,44,264,40,R,38,187,Donald Trump,,
192,1435,244,TN,29,17,115,660,46,R,8,416,total,,
193,2,2,TN,0,1,0,0,0,D,0,0,Other/No Answer,,
194,646,108,TN,82,56,57,315,76,D,39,166,Hillary Clinton,,
195,4,0,TN,0,0,0,4,1,D,0,0,Uncommitted,,
196,303,83,TN,18,43,88,95,23,D,61,37,Bernie Sanders,,
197,966,193,TN,21,20,145,415,43,D,15,203,total,,
198,5,0,TX,1,0,0,0,0,R,0,5,Other/No Answer,,
199,357,78,TX,12,18,61,157,19,R,31,61,Marco Rubio,,
200,87,9,TX,8,2,4,33,4,R,2,41,John Kasich,,
201,20,0,TX,2,0,2,8,1,R,1,10,Uncommitted,,
202,850,195,TX,41,45,65,380,46,R,33,210,Ted Cruz,,
203,78,22,TX,3,5,16,25,3,R,8,15,Ben Carson,,
204,35,0,TX,3,0,12,8,1,R,6,15,Jeb Bush,,
205,544,130,TX,30,30,37,223,27,R,19,154,Donald Trump,,
206,1969,433,TX,26,22,197,827,42,R,10,512,total,,
207,19,7,TX,1,2,3,6,1,D,1,3,Other/No Answer,,
208,983,189,TX,87,58,118,444,75,D,40,232,Hillary Clinton,,
209,479,130,TX,12,40,175,142,24,D,59,32,Bernie Sanders,,
210,1481,326,TX,18,22,296,592,40,D,20,267,total,,
211,5,0,VT,3,0,,0,0,R,,5,Other/No Answer,0,0
212,65,0,VT,14,0,,43,17,R,,22,Marco Rubio,0,0
213,133,0,VT,37,0,,76,30,R,,57,John Kasich,0,0
214,39,0,VT,7,0,,28,11,R,,11,Ted Cruz,0,0
215,16,0,VT,4,0,,10,4,R,,6,Ben Carson,0,0
216,9,0,VT,4,0,,3,1,R,,6,Jeb Bush,0,0
217,141,0,VT,31,0,,93,37,R,,48,Donald Trump,0,0
218,536,75,VT,29,14,,252,47,R,,155,total,54,10
219,6,0,VT,0,0,,6,1,D,,0,Other/No Answer,0,0
220,203,31,VT,23,9,,82,13,D,,78,Hillary Clinton,12,5
221,1332,308,VT,77,91,,544,86,D,,261,Bernie Sanders,219,95
222,1542,339,VT,22,22,,632,41,D,,339,total,231,15
223,19,10,VA,2,3,,0,0,R,,7,Other/No Answer,2,1
224,486,118,VA,28,37,,206,30,R,,98,Marco Rubio,64,35
225,141,26,VA,11,8,,62,9,R,,38,John Kasich,15,8
226,257,38,VA,18,12,,116,17,R,,63,Ted Cruz,40,22
227,97,26,VA,5,8,,48,7,R,,18,Ben Carson,5,3
228,15,6,VA,0,2,,7,1,R,,0,Jeb Bush,2,1
229,524,96,VA,36,30,,247,36,R,,126,Donald Trump,55,30
230,1523,320,VA,23,21,,685,45,R,,350,total,183,12
231,2,0,VA,0,0,,0,0,D,,0,Other/No Answer,2,1
232,910,201,VA,85,57,,377,72,D,,264,Hillary Clinton,68,30
233,501,152,VA,15,43,,146,28,D,,47,Bernie Sanders,156,69
234,1413,353,VA,22,25,,523,37,D,,311,total,226,16
235,43,16,WI,3,5,2,14,2,R,1,11,Other/No Answer,,
236,219,45,WI,16,14,32,86,12,R,21,56,John Kasich,,
237,538,106,WI,35,33,50,259,36,R,33,123,Donald Trump,,
238,2,0,WI,0,0,2,0,0,R,1,0,Uninstructed,,
239,744,155,WI,46,48,67,360,50,R,44,162,Ted Cruz,,
240,1532,322,WI,23,21,153,720,47,R,10,352,total,,
241,7,4,WI,1,1,0,0,0,D,0,3,Other/No Answer,,
242,774,141,WI,62,33,61,374,54,D,18,198,Hillary Clinton,,
243,993,281,WI,37,66,276,318,46,D,82,118,Bernie Sanders,,
244,3,0,WI,0,0,3,0,0,D,1,0,Uninstructed,,
245,1774,426,WI,18,24,337,692,39,D,19,319,total,,
